developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
982,0,0,0,0,0,3
983,0,0,0,0,0,1
984,0,0,0,0,0,1
985,0,0,0,0,0,1
986,0,0,0,0,0,1
987,0,0,0,0,0,1
988,0,0,0,0,0,1
989,0,0,0,0,0,1
990,0,0,0,0,0,11
991,0,0,0,0,0,1
992,0,0,0,0,0,1
993,0,0,0,0,0,1
994,0,0,0,0,0,1
995,0,0,0,0,0,2
996,0,0,0,0,0,9
997,0,0,0,0,0,1
998,0,0,0,0,0,2
999,0,0,0,0,0,1
1000,0,0,0,0,0,1
1001,0,0,0,0,0,1
1002,0,0,0,0,0,1
1003,0,0,0,0,0,7
1004,0,0,0,0,0,1
1005,0,0,0,0,0,2
1006,0,0,0,0,0,3
1007,0,0,0,0,0,1
1008,0,0,0,0,0,1
1009,0,0,0,0,0,1
1010,0,0,0,0,0,3
1011,0,0,0,0,0,1
1012,0,0,0,0,0,1
1013,0,0,0,0,0,1
1014,0,0,0,0,0,1
1015,0,0,0,0,0,1
1016,0,0,0,0,0,1
1017,0,0,0,0,0,1
1018,0,0,0,0,0,1
1019,0,0,0,0,0,3
1020,0,0,0,0,0,1
1021,0,0,0,0,0,1
1022,0,0,0,0,0,1
1023,0,0,0,0,0,3
1024,0,0,0,0,0,3
1025,0,0,0,0,0,1
1026,0,0,0,0,0,1
1027,0,0,0,0,0,1
1028,0,0,0,0,0,2
1029,0,0,0,0,0,1
1030,0,0,0,0,0,2
1031,0,0,0,0,0,1
1032,0,0,0,0,0,2
1033,0,0,0,0,0,2
1034,0,0,0,0,0,1
1035,0,0,0,0,0,1
1036,0,0,0,0,0,2
1037,0,0,0,0,0,1
1038,0,0,0,0,0,1
1039,0,0,0,0,0,1
1040,0,0,0,0,0,2
1041,0,0,0,0,0,1
1042,0,0,0,0,0,2
1043,0,0,0,0,0,13
1044,0,0,0,0,0,3
1045,0,0,0,0,0,2
1046,0,0,0,0,0,1
1047,0,0,0,0,0,1
1048,0,0,0,0,0,1
1049,0,0,0,0,0,2
1050,0,0,0,0,0,1
1051,0,0,0,0,0,1
1052,0,0,0,0,0,1
1053,0,0,0,0,0,1
1054,0,0,0,0,0,2
1055,0,0,0,0,0,2
1056,0,0,0,0,0,1
1057,0,0,0,0,0,1
1058,0,0,0,0,0,1
1059,0,0,0,0,0,2
1060,0,0,0,0,0,2
1061,0,0,0,0,0,1
1062,0,0,0,0,0,1
1063,0,0,0,0,0,4
1064,0,0,0,0,0,1
1065,0,0,0,0,0,2
1066,0,0,0,0,0,1
1067,0,0,0,0,0,1
1068,0,0,0,0,0,1
1069,0,0,0,0,0,3
1070,0,0,0,0,0,1
1071,0,0,0,0,0,3
1072,0,0,0,0,0,1
1073,0,0,0,0,0,2
1074,0,0,0,0,0,1
1075,0,0,0,0,0,1
1076,0,0,0,0,0,1
1077,0,0,0,0,0,1
1078,0,0,0,0,0,1
1079,0,0,0,0,0,1
1080,0,0,0,0,0,1
1081,0,0,0,0,0,1
1082,0,0,0,0,0,1
1083,0,0,0,0,0,2
1084,0,0,0,0,0,1
1085,0,0,0,0,0,1
1086,0,0,0,0,0,1
1087,0,0,0,0,0,2
1088,0,0,0,0,0,2
1089,0,0,0,0,0,1
1090,0,0,0,0,0,2
1091,0,0,0,0,0,2
1092,0,0,0,0,0,1
1093,0,0,0,0,0,3
1094,0,0,0,0,0,5
1095,0,0,0,0,0,2
1096,0,0,0,0,0,2
1097,0,0,0,0,0,3
1098,0,0,0,0,0,1
1099,0,0,0,0,0,15
1100,0,0,0,0,0,1
1101,0,0,0,0,0,1
1102,0,0,0,0,0,1
1103,0,0,0,0,0,2
1104,0,0,0,0,0,1
1105,0,0,0,0,0,2
1106,0,0,0,0,0,1
1107,0,0,0,0,0,2
1108,0,0,0,0,0,3
1109,0,0,0,0,0,1
1110,0,0,0,0,0,1
1111,0,0,0,0,0,2
1112,0,0,0,0,0,1
1113,0,0,0,0,0,2
1114,0,0,0,0,0,1
1115,0,0,0,0,0,1
1116,0,0,0,0,0,1
1117,0,0,0,0,0,1
1118,0,0,0,0,0,2
1119,0,0,0,0,0,1
1120,0,0,0,0,0,1
1121,0,0,0,0,0,1
1122,0,0,0,0,0,2
1123,0,0,0,0,0,1
1124,0,0,0,0,0,1
1125,0,0,0,0,0,1
1126,0,0,0,0,0,1
1127,0,0,0,0,0,1
1128,0,0,0,0,0,1
1129,0,0,0,0,0,1
1130,0,0,0,0,0,1
1131,0,0,0,0,0,1
1132,0,0,0,0,0,1
1133,0,0,0,0,0,4
1134,0,0,0,0,0,2
1135,0,0,0,0,0,2
1136,0,0,0,0,0,2
1137,0,0,0,0,0,2
1138,0,0,0,0,0,3
1139,0,0,0,0,0,2
1140,0,0,0,0,0,3
1141,0,0,0,0,0,1
1142,0,0,0,0,0,2
1143,0,0,0,0,0,1
1144,0,0,0,0,0,2
1145,0,0,0,0,0,3
1146,0,0,0,0,0,1
1147,0,0,0,0,0,1
1148,0,0,0,0,0,1
1149,0,0,0,0,0,1
1150,0,0,0,0,0,5
1151,0,0,0,0,0,1
1152,0,0,0,0,0,2
1153,0,0,0,0,0,1
1154,0,0,0,0,0,1
1155,0,0,0,0,0,1
1156,0,0,0,0,0,1
1157,0,0,0,0,0,1
1158,0,0,0,0,0,1
1159,0,0,0,0,0,1
1160,0,0,0,0,0,1
1161,0,0,0,0,0,3
1162,0,0,0,0,0,1
1163,0,0,0,0,0,1
1164,0,0,0,0,0,1
1165,0,0,0,0,0,1
1166,0,0,0,0,0,2
1167,0,0,0,0,0,1
1168,0,0,0,0,0,1
1169,0,0,0,0,0,2
1170,0,0,0,0,0,18
1171,0,0,0,0,0,1
1172,0,0,0,0,0,1
1173,0,0,0,0,0,1
1174,0,0,0,0,0,2
1175,0,0,0,0,0,1
1176,0,0,0,0,0,1
1177,0,0,0,0,0,1
1178,0,0,0,0,0,3
1179,0,0,0,0,0,1
1180,0,0,0,0,0,1
1181,0,0,0,0,0,1
1182,0,0,0,0,0,1
1183,0,0,0,0,0,3
1184,0,0,0,0,0,2
1185,0,0,0,0,0,1
1186,0,0,0,0,0,1
1187,0,0,0,0,0,2
1188,0,0,0,0,0,2
1189,0,0,0,0,0,1
1190,0,0,0,0,0,1
1191,0,0,0,0,0,1
1192,0,0,0,0,0,1
1193,0,0,0,0,0,2
1194,0,0,0,0,0,1
1195,0,0,0,0,0,2
1196,0,0,0,0,0,1
1197,0,0,0,0,0,3
1198,0,0,0,0,0,34
1199,0,0,0,0,0,1
1200,0,0,0,0,0,1
1201,0,0,0,0,0,1
1202,0,0,0,0,0,1
1203,0,0,0,0,0,3
1204,0,0,0,0,0,1
1205,0,0,0,0,0,1
1206,0,0,0,0,0,1
1207,0,0,0,0,0,1
1208,0,0,0,0,0,2
1209,0,0,0,0,0,1
1210,0,0,0,0,0,1
1211,0,0,0,0,0,4
1212,0,0,0,0,0,1
1213,0,0,0,0,0,1
1214,0,0,0,0,0,2
1215,0,0,0,0,0,3
1216,0,0,0,0,0,1
1217,0,0,0,0,0,2
1218,0,0,0,0,0,1
1219,0,0,0,0,0,16
1220,0,0,0,0,0,1
1221,0,0,0,0,0,2
1222,0,0,0,0,0,2
1223,0,0,0,0,0,3
1224,0,0,0,0,0,2
1225,0,0,0,0,0,2
1226,0,0,0,0,0,3
1227,0,0,0,0,0,1
1228,0,0,0,0,0,2
1229,0,0,0,0,0,1
1230,0,0,0,0,0,3
1231,0,0,0,0,0,3
1232,0,0,0,0,0,1
1233,0,0,0,0,0,4
1234,0,0,0,0,0,2
1235,0,0,0,0,0,1
1236,0,0,0,0,0,3
1237,0,0,0,0,0,1
1238,0,0,0,0,0,3
1239,0,0,0,0,0,1
1240,0,0,0,0,0,4
1241,0,0,0,0,0,1
1242,0,0,0,0,0,1
1243,0,0,0,0,0,3
1244,0,0,0,0,0,1
1245,0,0,0,0,0,1
1246,0,0,0,0,0,1
1247,0,0,0,0,0,1
1248,0,0,0,0,0,1
1249,0,0,0,0,0,1
1250,0,0,0,0,0,1
1251,0,0,0,0,0,1
1252,0,0,0,0,0,1
1253,0,0,0,0,0,19
1254,0,0,0,0,0,1
1255,0,0,0,0,0,1
1256,0,0,0,0,0,1
1257,0,0,0,0,0,1
1258,0,0,0,0,0,2
1259,0,0,0,0,0,5
1260,0,0,0,0,0,2
1261,0,0,0,0,0,1
1262,0,0,0,0,0,1
1263,0,0,0,0,0,1
1264,0,0,0,0,0,10
1265,0,0,0,0,0,3
1266,0,0,0,0,0,2
1267,0,0,0,0,0,4
1268,0,0,0,0,0,1
1269,0,0,0,0,0,1
1270,0,0,0,0,0,2
1271,0,0,0,0,0,1
1272,0,0,0,0,0,1
1273,0,0,0,0,0,24
1274,0,0,0,0,0,1
1275,0,0,0,0,0,1
1276,0,0,0,0,0,1
1277,0,0,0,0,0,8
1278,0,0,0,0,0,1
1279,0,0,0,0,0,1
1280,0,0,0,0,0,1
1281,0,0,0,0,0,1
1282,0,0,0,0,0,1
1283,0,0,0,0,0,1
1284,0,0,0,0,0,1
1285,0,0,0,0,0,1
1286,0,0,0,0,0,1
1287,0,0,0,0,0,1
1288,0,0,0,0,0,1
1289,0,0,0,0,0,4
1290,0,0,0,0,0,1
1291,0,0,0,0,0,1
1292,0,0,0,0,0,2
1293,0,0,0,0,0,1
1294,0,0,0,0,0,1
1295,0,0,0,0,0,1
1296,0,0,0,0,0,1
1297,0,0,0,0,0,1
1298,0,0,0,0,0,1
1299,0,0,0,0,0,1
1300,0,0,0,0,0,1
1301,0,0,0,0,0,1
1302,0,0,0,0,0,1
1303,0,0,0,0,0,1
1304,0,0,0,0,0,2
1305,0,0,0,0,0,1
1306,0,0,0,0,0,1
1307,0,0,0,0,0,1
1308,0,0,0,0,0,2
1309,0,0,0,0,0,1
1310,0,0,0,0,0,1
1311,0,0,0,0,0,1
1312,0,0,0,0,0,1
1313,0,0,0,0,0,1
1314,0,0,0,0,0,2
1315,0,0,0,0,0,1
1316,0,0,0,0,0,1
1317,0,0,0,0,0,7
1318,0,0,0,0,0,3
1319,0,0,0,0,0,3
1320,0,0,0,0,0,1
1321,0,0,0,0,0,1
1322,0,0,0,0,0,6
1323,0,0,0,0,0,1
1324,0,0,0,0,0,2
1325,0,0,0,0,0,1
1326,0,0,0,0,0,1
1327,0,0,0,0,0,1
1328,0,0,0,0,0,1
1329,0,0,0,0,0,1
1330,0,0,0,0,0,4
1331,0,0,0,0,0,1
1332,0,0,0,0,0,2
1333,0,0,0,0,0,1
1334,0,0,0,0,0,2
1335,0,0,0,0,0,1
1336,0,0,0,0,0,5
1337,0,0,0,0,0,1
1338,0,0,0,0,0,1
1339,0,0,0,0,0,1
1340,0,0,0,0,0,2
1341,0,0,0,0,0,1
1342,0,0,0,0,0,3
1343,0,0,0,0,0,2
1344,0,0,0,0,0,1
1345,0,0,0,0,0,1
1346,0,0,0,0,0,1
1347,0,0,0,0,0,2
1348,0,0,0,0,0,1
1349,0,0,0,0,0,3
1350,0,0,0,0,0,5
1351,0,0,0,0,0,1
1352,0,0,0,0,0,1
1353,0,0,0,0,0,3
1354,0,0,0,0,0,4
1355,0,0,0,0,0,1
1356,0,0,0,0,0,1
1357,0,0,0,0,0,1
1358,0,0,0,0,0,2
1359,0,0,0,0,0,1
1360,0,0,0,0,0,8
1361,0,0,0,0,0,1
1362,0,0,0,0,0,1
1363,0,0,0,0,0,1
1364,0,0,0,0,0,1
1365,0,0,0,0,0,1
1366,0,0,0,0,0,1
1367,0,0,0,0,0,1
1368,0,0,0,0,0,18
1369,0,0,0,0,0,2
1370,0,0,0,0,0,2
1371,0,0,0,0,0,1
1372,0,0,0,0,0,1
1373,0,0,0,0,0,3
1374,0,0,0,0,0,1
1375,0,0,0,0,0,3
1376,0,0,0,0,0,1
1377,0,0,0,0,0,5
1378,0,0,0,0,0,1
1379,0,0,0,0,0,1
1380,0,0,0,0,0,4
1381,0,0,0,0,0,1
1382,0,0,0,0,0,1
1383,0,0,0,0,0,1
1384,0,0,0,0,0,1
1385,0,0,0,0,0,1
1386,0,0,0,0,0,1
1387,0,0,0,0,0,1
1388,0,0,0,0,0,1
1389,0,0,0,0,0,1
1390,0,0,0,0,0,17
1391,0,0,0,0,0,1
1392,0,0,0,0,0,3
1393,0,0,0,0,0,1
1394,0,0,0,0,0,1
1395,0,0,0,0,0,1
1396,0,0,0,0,0,4
1397,0,0,0,0,0,2
1398,0,0,0,0,0,1
1399,0,0,0,0,0,1
1400,0,0,0,0,0,1
1401,0,0,0,0,0,1
1402,0,0,0,0,0,1
1403,0,0,0,0,0,1
1404,0,0,0,0,0,1
1405,0,0,0,0,0,1
1406,0,0,0,0,0,1
1407,0,0,0,0,0,1
1408,0,0,0,0,0,3
1409,0,0,0,0,0,1
1410,0,0,0,0,0,1
1411,0,0,0,0,0,1
1412,0,0,0,0,0,1
1413,0,0,0,0,0,1
1414,0,0,0,0,0,1
1415,0,0,0,0,0,1
1416,0,0,0,0,0,11
1417,0,0,0,0,0,2
1418,0,0,0,0,0,1
1419,0,0,0,0,0,1
1420,0,0,0,0,0,2
1421,0,0,0,0,0,2
1422,0,0,0,0,0,1
1423,0,0,0,0,0,1
1424,0,0,0,0,0,1
1425,0,0,0,0,0,2
1426,0,0,0,0,0,2
1427,0,0,0,0,0,1
1428,0,0,0,0,0,1
1429,0,0,0,0,0,3
1430,0,0,0,0,0,3
1431,0,0,0,0,0,1
1432,0,0,0,0,0,1
1433,0,0,0,0,0,1
1434,0,0,0,0,0,1
1435,0,0,0,0,0,3
1436,0,0,0,0,0,1
1437,0,0,0,0,0,1
1438,0,0,0,0,0,1
1439,0,0,0,0,0,1
1440,0,0,0,0,0,2
1441,0,0,0,0,0,1
1442,0,0,0,0,0,1
1443,0,0,0,0,0,1
1444,0,0,0,0,0,1
1445,0,0,0,0,0,1
1446,0,0,0,0,0,2
1447,0,0,0,0,0,1
1448,0,0,0,0,0,1
1449,0,0,0,0,0,1
1450,0,0,0,0,0,1
1451,0,0,0,0,0,1
1452,0,0,0,0,0,1
1453,0,0,0,0,0,1
1454,0,0,0,0,0,1
1455,0,0,0,0,0,1
1456,0,0,0,0,0,2
1457,0,0,0,0,0,12
1458,0,0,0,0,0,1
1459,0,0,0,0,0,1
1460,0,0,0,0,0,1
1461,0,0,0,0,0,1
1462,0,0,0,0,0,1
1463,0,0,0,0,0,1
1464,0,0,0,0,0,3
1465,0,0,0,0,0,1
1466,0,0,0,0,0,1
1467,0,0,0,0,0,1
1468,0,0,0,0,0,1
1469,0,0,0,0,0,1
1470,0,0,0,0,0,1
1471,0,0,0,0,0,1
1472,0,0,0,0,0,1
1473,0,0,0,0,0,1
1474,0,0,0,0,0,2
1475,0,0,0,0,0,1
1476,0,0,0,0,0,4
1477,0,0,0,0,0,1
1478,0,0,0,0,0,1
1479,0,0,0,0,0,1
1480,0,0,0,0,0,1
1481,0,0,0,0,0,1
1482,0,0,0,0,0,1
1483,0,0,0,0,0,1
1484,0,0,0,0,0,2
1485,0,0,0,0,0,1
1486,0,0,0,0,0,2
1487,0,0,0,0,0,1
1488,0,0,0,0,0,1
1489,0,0,0,0,0,3
1490,0,0,0,0,0,12
1491,0,0,0,0,0,1
1492,0,0,0,0,0,1
1493,0,0,0,0,0,8
1494,0,0,0,0,0,1
1495,0,0,0,0,0,1
1496,0,0,0,0,0,2
1497,0,0,0,0,0,3
1498,0,0,0,0,0,2
1499,0,0,0,0,0,1
1500,0,0,0,0,0,2
1501,0,0,0,0,0,2
1502,0,0,0,0,0,1
1503,0,0,0,0,0,1
1504,0,0,0,0,0,2
1505,0,0,0,0,0,1
1506,0,0,0,0,0,1
1507,0,0,0,0,0,1
1508,0,0,0,0,0,1
1509,0,0,0,0,0,3
1510,0,0,0,0,0,3
1511,0,0,0,0,0,1
1512,0,0,0,0,0,1
1513,0,0,0,0,0,2
1514,0,0,0,0,0,1
1515,0,0,0,0,0,1
1516,0,0,0,0,0,1
1517,0,0,0,0,0,1
1518,0,0,0,0,0,1
1519,0,0,0,0,0,1
1520,0,0,0,0,0,1
1521,0,0,0,0,0,1
1522,0,0,0,0,0,1
1523,0,0,0,0,0,1
1524,0,0,0,0,0,1
1525,0,0,0,0,0,3
1526,0,0,0,0,0,3
1527,0,0,0,0,0,1
1528,0,0,0,0,0,2
1529,0,0,0,0,0,1
1530,0,0,0,0,0,1
1531,0,0,0,0,0,1
1532,0,0,0,0,0,2
1533,0,0,0,0,0,1
1534,0,0,0,0,0,1
1535,0,0,0,0,0,1
1536,0,0,0,0,0,1
1537,0,0,0,0,0,1
1538,0,0,0,0,0,1
1539,0,0,0,0,0,1
1540,0,0,0,0,0,3
1541,0,0,0,0,0,5
1542,0,0,0,0,0,1
1543,0,0,0,0,0,1
1544,0,0,0,0,0,1
1545,0,0,0,0,0,1
1546,0,0,0,0,0,3
1547,0,0,0,0,0,9
1548,0,0,0,0,0,2
1549,0,0,0,0,0,1
1550,0,0,0,0,0,1
1551,0,0,0,0,0,1
1552,0,0,0,0,0,1
1553,0,0,0,0,0,2
1554,0,0,0,0,0,1
1555,0,0,0,0,0,3
1556,0,0,0,0,0,2
1557,0,0,0,0,0,2
1558,0,0,0,0,0,1
1559,0,0,0,0,0,1
1560,0,0,0,0,0,1
1561,0,0,0,0,0,2
1562,0,0,0,0,0,4
1563,0,0,0,0,0,1
1564,0,0,0,0,0,1
1565,0,0,0,0,0,2
1566,0,0,0,0,0,1
1567,0,0,0,0,0,2
1568,0,0,0,0,0,2
1569,0,0,0,0,0,1
1570,0,0,0,0,0,1
1571,0,0,0,0,0,2
1572,0,0,0,0,0,1
1573,0,0,0,0,0,3
1574,0,0,0,0,0,1
1575,0,0,0,0,0,1
1576,0,0,0,0,0,1
1577,0,0,0,0,0,1
1578,0,0,0,0,0,1
1579,0,0,0,0,0,1
1580,0,0,0,0,0,1
1581,0,0,0,0,0,1
1582,0,0,0,0,0,2
1583,0,0,0,0,0,1
1584,0,0,0,0,0,1
1585,0,0,0,0,0,1
1586,0,0,0,0,0,3
1587,0,0,0,0,0,15
1588,0,0,0,0,0,1
1589,0,0,0,0,0,4
1590,0,0,0,0,0,1
1591,0,0,0,0,0,1
1592,0,0,0,0,0,1
1593,0,0,0,0,0,1
1594,0,0,0,0,0,1
1595,0,0,0,0,0,2
1596,0,0,0,0,0,1
1597,0,0,0,0,0,1
1598,0,0,0,0,0,1
1599,0,0,0,0,0,1
1600,0,0,0,0,0,2
1601,0,0,0,0,0,1
1602,0,0,0,0,0,1
1603,0,0,0,0,0,1
1604,0,0,0,0,0,1
1605,0,0,0,0,0,1
1606,0,0,0,0,0,1
1607,0,0,0,0,0,1
1608,0,0,0,0,0,5
1609,0,0,0,0,0,1
1610,0,0,0,0,0,1
1611,0,0,0,0,0,5
1612,0,0,0,0,0,2
1613,0,0,0,0,0,1
1614,0,0,0,0,0,1
1615,0,0,0,0,0,1
1616,0,0,0,0,0,1
1617,0,0,0,0,0,1
1618,0,0,0,0,0,1
1619,0,0,0,0,0,1
1620,0,0,0,0,0,140
1621,0,0,0,0,0,1
1622,0,0,0,0,0,1
1623,0,0,0,0,0,1
1624,0,0,0,0,0,4
1625,0,0,0,0,0,5
1626,0,0,0,0,0,6
1627,0,0,0,0,0,1
1628,0,0,0,0,0,1
1629,0,0,0,0,0,1
1630,0,0,0,0,0,4
1631,0,0,0,0,0,8
1632,0,0,0,0,0,1
1633,0,0,0,0,0,2
1634,0,0,0,0,0,1
1635,0,0,0,0,0,1
1636,0,0,0,0,0,3
1637,0,0,0,0,0,1
1638,0,0,0,0,0,1
1639,0,0,0,0,0,41
1640,0,0,0,0,0,3
1641,0,0,0,0,0,1
1642,0,0,0,0,0,1
1643,0,0,0,0,0,5
1644,0,0,0,0,0,2
1645,0,0,0,0,0,1
1646,0,0,0,0,0,1
1647,0,0,0,0,0,10
1648,0,0,0,0,0,1
1649,0,0,0,0,0,1
1650,0,0,0,0,0,1
1651,0,0,0,0,0,2
1652,0,0,0,0,0,1
1653,0,0,0,0,0,49
1654,0,0,0,0,0,11
1655,0,0,0,0,0,13
1656,0,0,0,0,0,1
1657,0,0,0,0,0,1
1658,0,0,0,0,0,1
1659,0,0,0,0,0,1
1660,0,0,0,0,0,1
1661,0,0,0,0,0,1
1662,0,0,0,0,0,1
1663,0,0,0,0,0,1
1664,0,0,0,0,0,4
1665,0,0,0,0,0,1
1666,0,0,0,0,0,1
1667,0,0,0,0,0,38
1668,0,0,0,0,0,6
1669,0,0,0,0,0,1
1670,0,0,0,0,0,1
1671,0,0,0,0,0,1
1672,0,0,0,0,0,1
1673,0,0,0,0,0,10
1674,0,0,0,0,0,1
1675,0,0,0,0,0,1
1676,0,0,0,0,0,3
1677,0,0,0,0,0,1
1678,0,0,0,0,0,1
1679,0,0,0,0,0,1
1680,0,0,0,0,0,1
1681,0,0,0,0,0,1
1682,0,0,0,0,0,2
1683,0,0,0,0,0,35
1684,0,0,0,0,0,2
1685,0,0,0,0,0,1
1686,0,0,0,0,0,2
1687,0,0,0,0,0,1
1688,0,0,0,0,0,1
1689,0,0,0,0,0,1
1690,0,0,0,0,0,1
1691,0,0,0,0,0,4
1692,0,0,0,0,0,1
1693,0,0,0,0,0,1
1694,0,0,0,0,0,1
1695,0,0,0,0,0,1
1696,0,0,0,0,0,2
1697,0,0,0,0,0,1
1698,0,0,0,0,0,2
1699,0,0,0,0,0,1
1700,0,0,0,0,0,1
1701,0,0,0,0,0,1
1702,0,0,0,0,0,1
1703,0,0,0,0,0,1
1704,0,0,0,0,0,1
1705,0,0,0,0,0,1
1706,0,0,0,0,0,1
1707,0,0,0,0,0,2
1708,0,0,0,0,0,1
1709,0,0,0,0,0,1
1710,0,0,0,0,0,1
1711,0,0,0,0,0,1
1712,0,0,0,0,0,1
1713,0,0,0,0,0,1
1714,0,0,0,0,0,1
1715,0,0,0,0,0,1
1716,0,0,0,0,0,1
1717,0,0,0,0,0,1
1718,0,0,0,0,0,3
1719,0,0,0,0,0,2
1720,0,0,0,0,0,1
1721,0,0,0,0,0,1
1722,0,0,0,0,0,1
1723,0,0,0,0,0,2
1724,0,0,0,0,0,1
1725,0,0,0,0,0,6
1726,0,0,0,0,0,1
1727,0,0,0,0,0,3
1728,0,0,0,0,0,18
1729,0,0,0,0,0,1
1730,0,0,0,0,0,9
1731,0,0,0,0,0,1
1732,0,0,0,0,0,2
1733,0,0,0,0,0,3
1734,0,0,0,0,0,2
1735,0,0,0,0,0,1
1736,0,0,0,0,0,1
1737,0,0,0,0,0,2
1738,0,0,0,0,0,1
1739,0,0,0,0,0,1
1740,0,0,0,0,0,1
1741,0,0,0,0,0,1
1742,0,0,0,0,0,1
1743,0,0,0,0,0,5
1744,0,0,0,0,0,1
1745,0,0,0,0,0,1
1746,0,0,0,0,0,1
1747,0,0,0,0,0,1
1748,0,0,0,0,0,1
1749,0,0,0,0,0,4
1750,0,0,0,0,0,1
1751,0,0,0,0,0,1
1752,0,0,0,0,0,4
1753,0,0,0,0,0,1
1754,0,0,0,0,0,17
1755,0,0,0,0,0,1
1756,0,0,0,0,0,1
1757,0,0,0,0,0,2
1758,0,0,0,0,0,1
1759,0,0,0,0,0,1
1760,0,0,0,0,0,3
1761,0,0,0,0,0,1
1762,0,0,0,0,0,4
1763,0,0,0,0,0,2
1764,0,0,0,0,0,1
1765,0,0,0,0,0,8
1766,0,0,0,0,0,1
1767,0,0,0,0,0,1
1768,0,0,0,0,0,5
1769,0,0,0,0,0,1
1770,0,0,0,0,0,5
1771,0,0,0,0,0,4
1772,0,0,0,0,0,1
1773,0,0,0,0,0,3
1774,0,0,0,0,0,4
1775,0,0,0,0,0,1
1776,0,0,0,0,0,1
1777,0,0,0,0,0,1
1778,0,0,0,0,0,2
1779,0,0,0,0,0,1
1780,0,0,0,0,0,1
1781,0,0,0,0,0,4
1782,0,0,0,0,0,1
1783,0,0,0,0,0,1
1784,0,0,0,0,0,1
1785,0,0,0,0,0,1
1786,0,0,0,0,0,1
1787,0,0,0,0,0,1
1788,0,0,0,0,0,4
1789,0,0,0,0,0,1
1790,0,0,0,0,0,1
1791,0,0,0,0,0,6
1792,0,0,0,0,0,1
1793,0,0,0,0,0,1
1794,0,0,0,0,0,1
1795,0,0,0,0,0,1
1796,0,0,0,0,0,1
1797,0,0,0,0,0,1
1798,0,0,0,0,0,1
1799,0,0,0,0,0,1
1800,0,0,0,0,0,4
1801,0,0,0,0,0,1
1802,0,0,0,0,0,1
1803,0,0,0,0,0,1
1804,0,0,0,0,0,1
1805,0,0,0,0,0,1
1806,0,0,0,0,0,1
1807,0,0,0,0,0,5
1808,0,0,0,0,0,2
1809,0,0,0,0,0,11
1810,0,0,0,0,0,2
1811,0,0,0,0,0,1
1812,0,0,0,0,0,1
1813,0,0,0,0,0,1
1814,0,0,0,0,0,1
1815,0,0,0,0,0,4
1816,0,0,0,0,0,1
1817,0,0,0,0,0,1
1818,0,0,0,0,0,1
1819,0,0,0,0,0,2
1820,0,0,0,0,0,4
1821,0,0,0,0,0,2
1822,0,0,0,0,0,1
1823,0,0,0,0,0,1
1824,0,0,0,0,0,1
1825,0,0,0,0,0,1
1826,0,0,0,0,0,1
1827,0,0,0,0,0,4
1828,0,0,0,0,0,1
1829,0,0,0,0,0,1
1830,0,0,0,0,0,1
1831,0,0,0,0,0,3
1832,0,0,0,0,0,1
1833,0,0,0,0,0,1
1834,0,0,0,0,0,3
1835,0,0,0,0,0,2
1836,0,0,0,0,0,7
1837,0,0,0,0,0,1
1838,0,0,0,0,0,14
1839,0,0,0,0,0,1
1840,0,0,0,0,0,1
1841,0,0,0,0,0,1
1842,0,0,0,0,0,1
1843,0,0,0,0,0,1
1844,0,0,0,0,0,1
1845,0,0,0,0,0,3
1846,0,0,0,0,0,10
1847,0,0,0,0,0,43
1848,0,0,0,0,0,10
1849,0,0,0,0,0,2
1850,0,0,0,0,0,1
1851,0,0,0,0,0,1
1852,0,0,0,0,0,2
1853,0,0,0,0,0,2
1854,0,0,0,0,0,35
1855,0,0,0,0,0,1
1856,0,0,0,0,0,1
1857,0,0,0,0,0,1
1858,0,0,0,0,0,1
1859,0,0,0,0,0,4
1860,0,0,0,0,0,8
1861,0,0,0,0,0,1
1862,0,0,0,0,0,1
1863,0,0,0,0,0,2
1864,0,0,0,0,0,1
1865,0,0,0,0,0,1
1866,0,0,0,0,0,1
1867,0,0,0,0,0,4
1868,0,0,0,0,0,1
1869,0,0,0,0,0,1
1870,0,0,0,0,0,1
1871,0,0,0,0,0,1
1872,0,0,0,0,0,4
1873,0,0,0,0,0,1
1874,0,0,0,0,0,1
1875,0,0,0,0,0,1
1876,0,0,0,0,0,1
1877,0,0,0,0,0,1
1878,0,0,0,0,0,1
1879,0,0,0,0,0,1
1880,0,0,0,0,0,1
1881,0,0,0,0,0,1
1882,0,0,0,0,0,1
1883,0,0,0,0,0,3
1884,0,0,0,0,0,3
1885,0,0,0,0,0,4
1886,0,0,0,0,0,1
1887,0,0,0,0,0,1
1888,0,0,0,0,0,3
1889,0,0,0,0,0,1
1890,0,0,0,0,0,4
1891,0,0,0,0,0,2
1892,0,0,0,0,0,1
1893,0,0,0,0,0,2
1894,0,0,0,0,0,4
1895,0,0,0,0,0,1
1896,0,0,0,0,0,4
1897,0,0,0,0,0,1
1898,0,0,0,0,0,1
1899,0,0,0,0,0,1
1900,0,0,0,0,0,1
1901,0,0,0,0,0,1
1902,0,0,0,0,0,1
1903,0,0,0,0,0,1
1904,0,0,0,0,0,2
1905,0,0,0,0,0,1
1906,0,0,0,0,0,1
1907,0,0,0,0,0,1
1908,0,0,0,0,0,1
1909,0,0,0,0,0,3
1910,0,0,0,0,0,1
1911,0,0,0,0,0,1
1912,0,0,0,0,0,1
1913,0,0,0,0,0,1
